,Average Misclassification Rate,Standard Deviation
PC,0.1712469135802469,0.028012340237989774
FCI,0.14008641975308644,0.039406879463650034
GES,0.18920987654320987,0.02781951322835762
LiNGAM,0.2528024691358025,0.008898066250056683
GRaSP,0.19316049382716047,0.027447096165968285
